shelf_id,parent_path,subindex,fill,x,y,w,h,cx,cy
shelf_path114_017,path114,17,#ddd9c3,299.68,84.0,5.1200000000000045,156.64,302.24,162.32
shelf_path114_018,path114,18,#ddd9c3,271.2,105.28,5.1200000000000045,115.03999999999999,273.76,162.8
shelf_path114_019,path114,19,#ddd9c3,277.28,105.28,5.1200000000000045,115.03999999999999,279.84,162.8
shelf_path114_020,path114,20,#ddd9c3,248.96,84.0,5.1200000000000045,156.64,251.52,162.32
shelf_path114_021,path114,21,#ddd9c3,256.0,84.0,5.1200000000000045,156.64,258.56,162.32
shelf_path114_022,path114,22,#ddd9c3,227.52,84.0,4.159999999999997,156.64,229.60000000000002,162.32
shelf_path114_023,path114,23,#ddd9c3,233.6,84.0,5.1200000000000045,156.64,236.16,162.32
shelf_path114_024,path114,24,#ddd9c3,205.28,84.0,5.1200000000000045,156.64,207.84,162.32
shelf_path114_025,path114,25,#ddd9c3,212.32,84.0,4.159999999999997,156.64,214.39999999999998,162.32
shelf_path114_026,path114,26,#ddd9c3,182.88,84.0,5.1200000000000045,156.64,185.44,162.32
shelf_path114_027,path114,27,#ddd9c3,190.08,84.0,5.119999999999976,156.64,192.64,162.32
shelf_path114_028,path114,28,#ddd9c3,161.6,84.0,5.1200000000000045,156.64,164.16,162.32
shelf_path114_029,path114,29,#ddd9c3,167.68,84.0,5.1200000000000045,156.64,170.24,162.32
shelf_path114_030,path114,30,#ddd9c3,337.44,84.0,4.160000000000025,156.64,339.52,162.32
shelf_path114_031,path114,31,#ddd9c3,343.52,84.0,5.1200000000000045,156.64,346.08,162.32
shelf_path114_032,path114,32,#ddd9c3,139.2,84.0,5.1200000000000045,156.64,141.76,162.32
shelf_path114_033,path114,33,#ddd9c3,146.4,84.0,5.1200000000000045,156.64,148.96,162.32
shelf_path114_034,path114,34,#ddd9c3,117.92,84.0,4.159999999999997,156.64,120.0,162.32
shelf_path114_035,path114,35,#ddd9c3,124.0,84.0,5.1200000000000045,156.64,126.56,162.32
shelf_path114_036,path114,36,#ddd9c3,95.36,104.32,5.1200000000000045,112.0,97.92,160.32
shelf_path114_037,path114,37,#ddd9c3,102.56,104.32,4.319999999999993,112.0,104.72,160.32
shelf_path114_038,path114,38,#ddd9c3,600.48,84.0,5.1200000000000045,156.64,603.04,162.32
shelf_path114_039,path114,39,#ddd9c3,607.68,84.0,4.160000000000082,156.64,609.76,162.32
shelf_path114_040,path114,40,#ddd9c3,578.24,84.0,5.1200000000000045,156.64,580.8,162.32
shelf_path114_041,path114,41,#ddd9c3,585.28,84.0,5.1200000000000045,156.64,587.8399999999999,162.32
shelf_path114_042,path114,42,#ddd9c3,556.96,84.0,5.1200000000000045,156.64,559.52,162.32
shelf_path114_043,path114,43,#ddd9c3,563.04,84.0,5.1200000000000045,156.64,565.5999999999999,162.32
shelf_path114_044,path114,44,#ddd9c3,534.4,84.0,5.1200000000000045,156.64,536.96,162.32
shelf_path114_045,path114,45,#ddd9c3,541.44,84.0,5.119999999999891,156.64,544.0,162.32
shelf_path114_046,path114,46,#ddd9c3,512.96,84.0,4.159999999999968,156.64,515.04,162.32
shelf_path114_047,path114,47,#ddd9c3,519.2,84.0,5.1200000000000045,156.64,521.76,162.32
shelf_path114_048,path114,48,#ddd9c3,490.72,84.0,5.119999999999948,156.64,493.28,162.32
shelf_path114_049,path114,49,#ddd9c3,497.76,84.0,4.160000000000025,156.64,499.84000000000003,162.32
shelf_path114_050,path114,50,#ddd9c3,447.04,84.0,5.1200000000000045,156.64,449.6,162.32
shelf_path114_051,path114,51,#ddd9c3,453.12,84.0,5.1200000000000045,156.64,455.68,162.32
shelf_path114_052,path114,52,#ddd9c3,622.88,84.0,4.159999999999968,156.64,624.96,162.32
shelf_path114_053,path114,53,#ddd9c3,628.96,84.0,5.1200000000000045,156.64,631.52,162.32
shelf_path114_054,path114,54,#ddd9c3,424.8,84.0,5.1200000000000045,156.64,427.36,162.32
shelf_path114_055,path114,55,#ddd9c3,431.84,84.0,5.1200000000000045,156.64,434.4,162.32
shelf_path114_056,path114,56,#ddd9c3,402.4,84.0,5.1200000000000045,156.64,404.96,162.32
shelf_path114_057,path114,57,#ddd9c3,409.44,84.0,5.1200000000000045,156.64,412.0,162.32
shelf_path114_058,path114,58,#ddd9c3,381.12,84.0,5.1200000000000045,156.64,383.68,162.32
shelf_path114_059,path114,59,#ddd9c3,388.16,84.0,4.159999999999968,156.64,390.24,162.32
shelf_path114_060,path114,60,#ddd9c3,358.72,84.0,5.119999999999948,156.64,361.28,162.32
shelf_path114_061,path114,61,#ddd9c3,364.8,84.0,5.1200000000000045,156.64,367.36,162.32
shelf_path114_062,path114,62,#ddd9c3,687.84,84.0,5.1200000000000045,156.64,690.4000000000001,162.32
shelf_path114_063,path114,63,#ddd9c3,695.04,84.0,5.1200000000000045,156.64,697.5999999999999,162.32
shelf_path114_064,path114,64,#ddd9c3,644.16,84.0,5.1200000000000045,156.64,646.72,162.32
shelf_path114_065,path114,65,#ddd9c3,651.36,84.0,5.1200000000000045,156.64,653.9200000000001,162.32
shelf_path114_066,path114,66,#ddd9c3,710.24,84.0,5.1200000000000045,156.64,712.8,162.32
shelf_path114_067,path114,67,#ddd9c3,717.28,84.0,4.160000000000082,156.64,719.36,162.32
shelf_path114_068,path114,68,#ddd9c3,820.0,84.0,5.1200000000000045,156.64,822.56,162.32
shelf_path114_069,path114,69,#ddd9c3,826.08,84.0,5.1200000000000045,156.64,828.6400000000001,162.32
shelf_path114_070,path114,70,#ddd9c3,798.72,84.0,5.1200000000000045,156.64,801.28,162.32
shelf_path114_071,path114,71,#ddd9c3,804.8,84.0,5.1200000000000045,156.64,807.3599999999999,162.32
shelf_path114_072,path114,72,#ddd9c3,776.32,84.0,5.1200000000000045,156.64,778.8800000000001,162.32
shelf_path114_073,path114,73,#ddd9c3,782.4,84.0,5.1200000000000045,156.64,784.96,162.32
shelf_path114_074,path114,74,#ddd9c3,753.92,84.0,5.1200000000000045,156.64,756.48,162.32
shelf_path114_075,path114,75,#ddd9c3,760.96,84.0,5.1200000000000045,156.64,763.52,162.32
shelf_path114_076,path114,76,#ddd9c3,732.48,84.0,4.159999999999968,156.64,734.56,162.32
shelf_path114_077,path114,77,#ddd9c3,738.72,84.0,5.1200000000000045,156.64,741.28,162.32
shelf_path114_078,path114,78,#ddd9c3,80.16,533.28,134.24,4.160000000000082,147.28,535.36
shelf_path114_079,path114,79,#ddd9c3,80.16,529.28,134.24,3.2000000000000455,147.28,530.88
shelf_path114_080,path114,80,#ddd9c3,80.16,512.96,134.24,4.159999999999968,147.28,515.04
shelf_path114_081,path114,81,#ddd9c3,80.16,508.96,134.24,3.1999999999999886,147.28,510.55999999999995
shelf_path114_082,path114,82,#ddd9c3,80.16,492.64,195.20000000000002,4.160000000000025,177.76,494.72
shelf_path114_083,path114,83,#ddd9c3,80.16,487.68,195.20000000000002,4.159999999999968,177.76,489.76
shelf_path114_084,path114,84,#ddd9c3,80.16,472.48,195.20000000000002,4.159999999999968,177.76,474.56
shelf_path114_085,path114,85,#ddd9c3,80.16,467.36,195.20000000000002,3.1999999999999886,177.76,468.96000000000004
shelf_path114_086,path114,86,#ddd9c3,80.16,452.0,195.20000000000002,3.1999999999999886,177.76,453.6
shelf_path114_087,path114,87,#ddd9c3,80.16,447.04,195.20000000000002,3.1999999999999886,177.76,448.64
shelf_path114_088,path114,88,#ddd9c3,80.16,411.36,184.96,3.1999999999999886,172.64,412.96000000000004
shelf_path114_089,path114,89,#ddd9c3,80.16,406.24,184.96,4.159999999999968,172.64,408.32
shelf_path114_090,path114,90,#ddd9c3,80.16,369.76,172.8,4.160000000000025,166.56,371.84000000000003
shelf_path114_091,path114,91,#ddd9c3,80.16,365.6,172.8,3.1999999999999886,166.56,367.20000000000005
shelf_path114_092,path114,92,#ddd9c3,80.16,329.12,172.8,4.159999999999968,166.56,331.2
