libraryName,collectionName,collectionNameHe,rangeStart,rangeEnd,svgCode,description,descriptionHe,floor,shelfLabel,shelfLabelHe,notes,notesHe
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",909,909.82,ka1_20_a,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,20 A,20 א',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",909.82,910.45,ka1_20_b,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,20 B,20 ב',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",912,912.999,ka1_21_a,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,21 A,21 א',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",914,915.6,ka1_21_a,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,21 A,21 א',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",915.6,916.63,ka1_21_b,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,21 B,21 ב',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",916.66,930,ka1_22_a,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,22 A,22 א',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",930,930.8,ka1_22_b,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,22 B,22 ב',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",930.8,932.01,ka1_23_a,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,23 A,23 א',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",932.01,932.999,ka1_23_b,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,23 B,23 ב',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",934,936.6,ka1_23_b,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,23 B,23 ב',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",936.7,937.008,ka1_24_a,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,24 A,24 א',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",937.008,937.05,ka1_24_b,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,24 B,24 ב',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",937.05,937.9,ka1_25_a,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,25 A,25 א',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",938,938.02,ka1_25_b,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,25 B,25 ב',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",938.02,939.44,ka1_26_a,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,26 A,26 א',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",939.44,940.1,ka1_26_b,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,26 B,26 ב',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",940.1,940.25,ka1_27_a,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,27 A,27 א',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",940.43,940.452,ka1_27_b,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,27 B,27 ב',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",940.452,940.5425,ka1_28_a,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,28 A,28 א',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",940.5425,942,ka1_28_b,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,28 B,28 ב',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",942,942.035,ka1_29_a,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,29 A,29 א',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",942.035,942.07,ka1_29_b,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,29 B,29 ב',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",942.07,942.082,ka1_30_a,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,30 A,30 א',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",942.082,943,ka1_30_b,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,30 B,30 ב',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",943,943.07,ka1_31_a,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,31 A,31 א',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",943.07,943.085,ka1_31_b,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,31 B,31 ב',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",943.085,943.088,ka1_32_a,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,32 A,32 א',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",943.088,943.6,ka1_32_b,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,32 B,32 ב',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",943.6,944,ka1_33_a,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,33 A,33 א',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",944,944.033,ka1_33_b,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,33 B,33 ב',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",944.033,944.05,ka1_34_a,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,34 A,34 א',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",944.05,944.081,ka1_34_b,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,34 B,34 ב',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",944.081,945.05,ka1_35_a,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,35 A,35 א',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",945.05,945.51,ka1_35_b,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,35 B,35 ב',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",942,942,ka1_36_b,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,36 B,36 ב',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",942,942,ka1_37_b,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,37 B,37 ב',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",945.51,946,ka1_38_a,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,38 A,38 א',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",946,946.081,ka1_38_b,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,38 B,38 ב',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",946.081,947,ka1_39_a,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,39 A,39 א',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",947,947.06,ka1_39_b,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,39 B,39 ב',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",947.06,947.084,ka1_40_a,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,40 A,40 א',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",947.084,947.103,ka1_40_b,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,40 B,40 ב',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",947.103,949.5,ka1_41_a,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,41 A,41 א',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",949.5,949.71,ka1_41_b,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,41 B,41 ב',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",949.71,951.01,ka1_42_a,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,42 A,42 א',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",951.01,951.3,ka1_42_b,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,42 B,42 ב',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",951.34,954.03,ka1_43_a,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,43 A,43 א',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",954.03,959.7,ka1_43_b,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,43 B,43 ב',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",959.7,972.91,ka1_44_a,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,44 A,44 א',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",979.91,973.03,ka1_44_b,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,44 B,44 ב',,
